genus_species,AUTHOR,COMMON.NAME,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,PHAGY,Source,eradicated
Usingeriessa onyxalis,(Hampson),"NA",Lepidoptera,"NA",Crambidae,1995,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Allograpta obliqua,(Say),"NA",Diptera,"NA",Syrphidae,1994,"NA","NA",Nearctic Neotropic,"NA",Timberlake (1921) (as new syrphid) Proceedings of the Hawaiian Entomological Society 4(3): 456.  Nishida (2002). http://en.wikipedia.org/wiki/Allograpta_obliqua,NA
Cardiocondyla obscurior,"NA",Ant,Hymenoptera,"NA",Formicidae,1994,"NA","NA","NA","NA",Krushelnycky et al. (2005),NA
Coproica acutangula,(Zetterstedt),"NA",Diptera,"NA",Sphaeroceridae,1994,"NA","NA",Nearctic Palearctic(Asia) Palearctic(Europe),"NA",Tenorio (1969) (as Leptocera acutangula) Proceedings of the Hawaiian Entomological Society 20(1): 172.  Nishida (2002),NA
Draeculacephala californica,Davidson and Frazier,"NA",Hemiptera,"NA",Cicadellidae,1994,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Draeculacephala inscripta,Van Duzee,"NA",Hemiptera,"NA",Cicadellidae,1994,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Trioza spp.,-,"NA",Hemiptera,"NA",Psyllidae,1994,"NA","NA","NA","NA",Nishida(2002),NA
Aethina concolor,(Macleay),"NA",Coleoptera,"NA",Nitidulidae,1993,"NA","NA",Australasia Neotropic,"NA",Asquith & Messing (1993) (as Macroura sp.) Pacific Science 47: 12.,NA
Aleurocybotus occiduus,Russell,"NA",Hemiptera,"NA",Aleyrodidae,1993,"NA","NA",Neotropic,"NA","Nishida(2002)
Molares (2001) Sustainable Integrated Management of Whiteflies as Pests and Vectors of Plant Viruses in the Tropics (http://researchintouse.com/nrk/RIUinfo/outputs/R8041_FTR_Coordination.pdf)",NA
Aulacaspis alisiana,Takagi,"NA",Hemiptera,"NA",Diaspididae,1993,"NA","NA","NA","NA",Nishida(2002),NA
Balta sp.,-,"NA",Blattaria,"NA",Blattellidae,1993,"NA","NA","NA","NA",Strazanac (1993) Proceedings of the Hawaiian Entomological Society 31: 29.,NA
Blastopsylla occidentalis,Taylor,Eucalyptus psyllid,Hemiptera,"NA",Psyllidae,1993,"NA","NA",Nearctic Australasia,"NA",Nishida(2002),NA
Blissus insularis,Barber,"NA",Hemiptera,"NA",Lygaeidae,1993,"NA","NA","NA","NA",Nishida(2002),NA
Camarothorax sp.,-,"NA",Hymenoptera,"NA",Agaonidae,1993,"NA","NA","NA","NA",Nishida(2002),NA
Cardiastethus minutissimus,Usinger,"NA",Hemiptera,"NA",Anthocoridae,1993,"NA","NA","NA","NA",Nishida(2002),NA
Cybocephalus nipponicus,Endrody-Younga,"NA",Coleoptera,"NA",Cybocephalidae,1993,"NA","NA",Palearctic(Asia),"NA",Tsuda (1993) Proceedings of the Hawaiian Entomological Society 31: 10.,NA
Dysaphis aucupariae,(Buckton),"NA",Hemiptera,"NA",Aphididae,1993,"NA","NA",Palearctic(Asia),"NA",Nishida(2002),NA
Ferrisia consobrina,Williams and Watson,"NA",Hemiptera,"NA",Pseudococcidae,1993,"NA","NA",Australasia,"NA",Nishida(2002),NA
Greenidea psidii,"NA",Syn Greenidea formosana,Hemiptera,"NA",Aphididae,1993,"NA","NA",Indomalaya Palearctic(Asia),"NA",Florida Entomologist 92(2):396-398. 2009,NA
Hippelates proboscideus,Williston,"NA",Diptera,"NA",Chloropidae,1993,"NA","NA",Neotropic,"NA",Hardy (1993) Hawaiian Entomological Society Newsletter 3(1): 2. Nishida(2002),NA
Limonia advena,(Alexander),"NA",Diptera,"NA",Tipulidae,1993,"NA","NA","NA","NA",Nishida(2002),NA
Liothrips varicornis,Hood,"NA",Thysanoptera,"NA",Phlaeothripidae,1993,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Metacolpodes buchanani,(Hope),"NA",Coleoptera,"NA",Carabidae,1993,"NA","NA",Indomalaya,"NA",Samuelson & Liebherr (1993) Hawaiian Entomological Society Newsletter 3(1): 2.,NA
Micracanthia humilis,(Say),"NA",Hemiptera,"NA",Saldidae,1993,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Ormia ochracea,(Bigot),"NA",Diptera,"NA",Tachinidae,1993,I,"NA",Nearctic,"NA",Weber (1953) Recent Liberations of Beneficial Insects in Hawaii-II. Proc. Hawaii. Entomol. Soc 15: 127-130,NA
Pagria signata,(Motschulsky),bean leaf beetle,Coleoptera,"NA",Chrysomelidae,1993,"NA","NA",Indomalaya,"NA",Samuelson & Kumashiro (1993) Hawaiian Entomological Society Newsletter 3(1): 2.,NA
Paratettix mexicanus,(Saussure),"NA",Orthoptera,"NA",Tetrigidae,1993,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Phasioormia pallida,Townsend,"NA",Diptera,"NA",Tachinidae,1993,"NA","NA","NA","NA",Nishida(2002),NA
Poecilominettia sexseriata,Hendel,"NA",Diptera,"NA",Lauxaniidae,1993,"NA","NA",Neotropic,"NA",Hardy (1993) Hawaiian Entomological Society Newsletter 3(1): 2. Nishida(2002),NA
Propsocus pulchripennis,(Perkins),"NA",Psocoptera,"NA",Elipsocidae,1993,"NA","NA",Australasia,"NA",Nishida(2002),NA
Rhizoecus saintpauliae,Williams,"NA",Hemiptera,"NA",Pseudococcidae,1993,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Siphonatrophia cupressi,(Swain),"NA",Hemiptera,"NA",Aphididae,1993,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Sophonia rufofascia,(Kuoh and Kuoh),Two-spotted leafhopper,Hemiptera,"NA",Cicadellidae,1993,"NA","NA",Palearctic(Asia),"NA",Nishida(2002),NA
Termatophyloides sp.,-,"NA",Hemiptera,"NA",Miridae,1993,"NA","NA","NA","NA",Nishida(2002),NA
Tetramorium insolens,"NA",Ant,Hymenoptera,"NA",Formicidae,1993,"NA","NA","NA","NA",Krushelnycky et al. (2005),NA
Tetraneura nigriabdominalis,(Sasaki),"NA",Hemiptera,"NA",Aphididae,1993,"NA","NA",Palearctic(Asia) Palearctic(Europe),"NA",Nishida(2002),NA
Trichospilus diatraeae,Cherian and Margabandhu,"NA",Hymenoptera,"NA",Eulophidae,1993,"NA","NA",Palearctic(Asia) Indomalaya,"NA",Nishida(2002),NA
Aspidiotiphagus lounsburyi,(Berlese and Paoli),"NA",Hymenoptera,"NA",Aphelinidae,1992,"NA","NA",Nearctic Palearctic(Europe) Australasia,"NA",Nishida(2002),NA
Dixa longistyla,Takahashi,"NA",Diptera,"NA",Dixidae,1992,"NA","NA",Palearctic(Asia),"NA",Hardy (1992) Hawaiian Entomological Society Newsletter 2(1): 2. Nishida(2002),NA
Dolichogenidea agonoxenae,(Fullaway),"NA",Hymenoptera,"NA",Braconidae,1992,"NA","NA","NA","NA",Nishida(2002),NA
Encarsia aseta,Hayat and Polaszek,"NA",Hymenoptera,"NA",Aphelinidae,1992,"NA","NA",Indomalaya Palearctic(Asia),"NA",Nishida(2002),NA
Encarsiella boswelli,(Girault),"NA",Hymenoptera,"NA",Aphelinidae,1992,"NA","NA",Australasia,"NA",Nishida(2002),NA
Frankliniella bondari,Hood,"NA",Thysanoptera,"NA",Thripidae,1992,"NA","NA","NA","NA",Nishida(2002),NA
Hemerodromia stellaris,Melander,"NA",Diptera,"NA",Empididae,1992,"NA","NA",Nearctic,"NA",Hardy (1985) (as Hemerodromia sp.) Proceedings of the Hawaiian Entomological Society 25: 20.  Nishida(2002).,NA
Johnsonia elegans,Coquillett,"NA",Diptera,"NA",Sarcophagidae,1992,"NA","NA",Nearctic,"NA",Thistle (1958) Report Board of Commissioners Agriculture Forestry Territory Hawaii 1958: 56.  Nishida (2002).,NA
Lixus mastersi,Pascoe,"NA",Coleoptera,"NA",Curculionidae,1992,"NA","NA",Australasia,"NA",Beardsley et al. (1992) Hawaiian Entomological Society Newsletter 2(3): 2.,NA
Megaselia sp.,-,"NA",Diptera,"NA",Phoridae,1992,"NA","NA","NA","NA",Cole et al. (1992) Ecology 73(4): 1316. Nishida(2002),NA
Philotrypesis emeryi,Grandi,"NA",Hymenoptera,"NA",Agaonidae,1992,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Stelidota sp.,-,"NA",Coleoptera,"NA",Nitidulidae,1992,"NA","NA","NA","NA",Beardsley et al. (1992) Hawaiian Entomological Society Newsletter 2(3): 2.,NA
Thrips florum,Schmutz,"NA",Thysanoptera,"NA",Thripidae,1992,"NA","NA",Palearctic(Asia),"NA",Nishida(2002),NA
Walkerella microcarpae,Boucek,"NA",Hymenoptera,"NA",Pteromalidae,1992,"NA","NA",Palearctic(Asia),"NA",Boucek (1993) The genera of chalcidoid wasps from Ficus fruit in the New World. Journal of Natural History 27: 173-217,NA
Acanthoscelides macrophthalmus,(Schaeffer),"NA",Coleoptera,"NA",Chrysomelidae,1991,"NA","NA",Neotropic,"NA",Samuelson (1991) Hawaiian Entomological Society Newsletter 1(1): 2.,NA
Aphelinus humilis,Mercet,"NA",Hymenoptera,"NA",Aphelinidae,1991,"NA","NA",Palearctic(Europe),"NA",Nishida(2002),NA
Bacanius dentrecasteauxi,Gomy,"NA",Coleoptera,"NA",Histeridae,1991,"NA","NA",Australasia,"NA",Yelamos (1991) Coleopterists Bulletin 45: 202.,NA
Bacanius rhombophorus,(Aube),"NA",Coleoptera,"NA",Histeridae,1991,"NA","NA",Indomalaya Afrotropic,"NA","Yelamos (1991) Coleopterists Bulletin 45: 202.
Gerlach (2009) The Coleoptera of the Seychelles islands. PenSoft. Sofia-Moscow.",NA
Caloptilia coruscans,"NA",Moth,Lepidoptera,"NA",Gracillariidae,1991,I,"NA","NA","NA",Conant et al. (2011),NA
Diversinervus cervantesi,(Girault),"NA",Hymenoptera,"NA",Encyrtidae,1991,"NA","NA",Australasia,"NA",Nishida(2002),NA
Eutrichosomella sp.,-,"NA",Hymenoptera,"NA",Aphelinidae,1991,"NA","NA","NA","NA",Nishida(2002),NA
Hayhurstia atriplicis,(Linnaeus),"NA",Hemiptera,"NA",Aphididae,1991,"NA","NA",Palearctic(Asia) Palearctic(Europe),"NA",Foottit (2012) Aphids (Hemiptera: Aphididae and Adelgidae) of Hawaii: Annotated List and Key to Species of an Adventive Fauna. Pacific Science. 66:1-30,NA
Notonecta indica,Linnaeus,"NA",Hemiptera,"NA",Notonectidae,1991,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Pantala hymenaea,(Say),"NA",Odonata,"NA",Libellulidae,1991,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Phenacoccus parvus,Morrison,"NA",Hemiptera,"NA",Pseudococcidae,1991,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Platylomalus gardineri,(Scott),"NA",Coleoptera,"NA",Histeridae,1991,"NA","NA",Afrotropic,"NA",Yelamos (1991) Coleopterists Bulletin 45: 204.,NA
Platynota stultana,(Walsingham),"NA",Lepidoptera,"NA",Tortricidae,1991,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Scymnus horni,Gorham,"NA",Coleoptera,"NA",Coccinellidae,1991,"NA","NA",Neotropic Palearctic,"NA",Kumashiro (1991) Hawaiian Entomological Society Newsletter 1(1): 2.,NA
Sericothrips staphylinus,"NA",Thrip,Thysanoptera,"NA",Thripidae,1991,I,"NA","NA","NA",Mound et al. (2016),NA
Sipha flava,(Forbes),Yellow sugarcane aphid,Hemiptera,"NA",Aphididae,1991,"NA","NA",Nearctic,"NA",Foottit (2012) Aphids (Hemiptera: Aphididae and Adelgidae) of Hawaii: Annotated List and Key to Species of an Adventive Fauna. Pacific Science. 66:1-30,NA
Siphoninus phillyreae,(Haliday),Ash whitefly :  ash whitefly: English Grain Aphid,Hemiptera,"NA",Aleyrodidae,1991,"NA","NA",Palearctic(Europe)  Afrotropic,"NA",Nishida(2002),NA
Trentepohlia australasiae,Skuse,"NA",Diptera,"NA",Tipulidae,1991,"NA","NA",Australasia,"NA",Nishida(2002),NA
Aeolothrips bicolor,Hinds,"NA",Thysanoptera,"NA",Aeolothripidae,1990,"NA","NA",Nearctic,"NA","Nishida(2002)
Funderburk () Thrips of Ornamentals in the Southeastern US. ENY-845 (http://ipm.ifas.ufl.edu/pdfs/IN75400.pdf)",NA
Caliothrips punctipennis,(Hood),"NA",Thysanoptera,"NA",Thripidae,1990,"NA","NA","NA","NA",Nishida(2002),NA
Cardiocondyla emeryi,Forel,"NA",Hymenoptera,"NA",Formicidae,1990,"NA","NA","NA","NA",Nishida(2002),NA
Haplothrips niger,(Osborn),red clover thrips:daisy thrips,Thysanoptera,"NA",Phlaeothripidae,1990,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Harmolita sp2,-,"NA",Hymenoptera,"NA",Eurytomidae,1990,"NA","NA","NA","NA",Nishida(2002),NA
Hoplothrips japonicus,(Karny),"NA",Thysanoptera,"NA",Phlaeothripidae,1990,"NA","NA",Palearctic(Asia),"NA",Nishida(2002),NA
Hypothenemus obscurus,(Fabricius),Tropical nut borer,Coleoptera,"NA",Curculionidae,1990,"NA","NA",Neotropic,"NA",Beardsley et al. (1990) Proceedings of the Hawaiian Entomological Society 30: 15. Delate (1994) Postharvest control treatments for Hypohenemus javanus (F.) (Coleoptera: Scolytidae) in macadamia nuts. J. Econ. Entomol 87: 120-126,NA
Kleidotoma bryani,Yoshimoto,"NA",Hymenoptera,"NA",Eucoilidae,1990,"NA","NA","NA","NA",Nishida(2002),NA
Marietta pulchella,(Howard),lima bean pod borer,Hymenoptera,"NA",Aphelinidae,1990,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Modicogryllus sp.,-,"NA",Orthoptera,"NA",Gryllidae,1990,"NA","NA","NA","NA",Nishida(2002),NA
Nephrotoma suturalis,(Bergroth),Crane fly,Diptera,"NA",Tipulidae,1990,"NA","NA","NA","NA",Nishida(2002),NA
Neurothrips punanus,Stannard,"NA",Thysanoptera,"NA",Phlaeothripidae,1990,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Ontsira syagrii,(Fullaway),"NA",Hymenoptera,"NA",Braconidae,1990,I,"NA","NA","NA",Nishida(2002),NA
Opogona sacchari,(Bojer),Banana Moth,Lepidoptera,"NA",Tineidae,1990,"NA","NA",Afrotropic,"NA",Nishida(2002),NA
Strepterothrips orientalis,Ananthakrishnan,"NA",Thysanoptera,"NA",Phlaeothripidae,1990,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Syrphophagus sp.,-,"NA",Hymenoptera,"NA",Encyrtidae,1990,"NA","NA","NA","NA",Nishida(2002),NA
Trogoxylon praeustum,(Erichson),syn (Trogoxylon prostomoides),Coleoptera,"NA",Bostrichidae,1990,"NA","NA",Neotropic,"NA",Samuelson (1990) Proceedings of the Hawaiian Entomological Society 30: 12.,NA
Acyrthosiphon kondoi,Shinji,blue alfalfa aphid :  blue alfalfa aphid,Hemiptera,"NA",Aphididae,1989,"NA","NA",Palearctic(Asia),"NA",Nishida(2002),NA
Atypophthalmus umbratus,(Meijere),"NA",Diptera,"NA",Limoniidae,1989,"NA","NA",Indomalaya,"NA",Oosterbroek (1989) Catalog of the Diptera of the Australasian and Oceanian Regions p. 68. Nishida(2002).,NA
Baryconus sp.,-,"NA",Hymenoptera,"NA",Scelionidae,1989,"NA","NA","NA","NA",Nishida(2002),NA
Bootanelleus orientalis,(Mathur and Hussey),"NA",Hymenoptera,"NA",Torymidae,1989,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Chionaspis wistariae,Cooley,wistaria scurfy scale,Hemiptera,"NA",Diaspididae,1989,"NA","NA",Palearctic(Asia) Palearctic(Europe),"NA","Nishida(2002)
Miller et al (2005) Introduced scale insects (Hemiptera: Coccidea) of the United States and their impact on U.S. Agriculture. Proceedings of Entomological Society of Washington 107: 123-158
",NA
Chrestosema magnifica,(Yoshimoto),"NA",Hymenoptera,"NA",Eucoilidae,1989,"NA","NA","NA","NA",Nishida(2002),NA
Desmometopa varipalpis,Malloch,"NA",Diptera,"NA",Milichiidae,1989,"NA","NA",Australasia,"NA",Sabrosky (1989) Catalog of the Diptera of the Australasian and Oceanian Regions p. 555. Nishida(2002).,NA
Didyctium weldi,(Yoshimoto),"NA",Hymenoptera,"NA",Eucolidae,1989,"NA","NA",Oceania,"NA",Nishida(2002),NA
Encyrtoscelio sp.,of Beardsley,"NA",Hymenoptera,"NA",Scelionidae,1989,"NA","NA","NA","NA",Nishida(2002),NA
Ganaspis xanthopoda,(Ashmead),"NA",Hymenoptera,"NA",Eucoilidae,1989,"NA","NA","NA","NA",Nishida(2002),NA
Gasterophilus haemorrhoidalis,(Linnaeus),rectal horse bot fly:nose bot fly,Diptera,"NA",Gasterophilidae,1989,"NA","NA",Palearctic(Europe),"NA",Evenhuis (1989) Catalog of the Diptera of the Australasian and Oceanian Regions p. 720. Nishida(2002). http://eol.org/pages/730032/overview,NA
Gryllus bimaculatus,De Geer,twospotted cricket,Orthoptera,"NA",Gryllidae,1989,"NA","NA",Palearctic(Asia) Palearctic(Europe) Afrotropic,"NA",Nishida(2002),NA
Gymnaspis aechmeae,(Signoret),flyspeck scale,Hemiptera,"NA",Diaspididae,1989,"NA","NA",Palearctic(Asia) Indomalaya,"NA",Nishida(2002),NA
Halidayina exserta,Marshall,"NA",Diptera,"NA",Sphaeroceridae,1989,"NA","NA",Nearctic,"NA",Marshall (1989) Catalog of the Diptera of the Australasian and Oceanian Regions p. 603. Nishida(2002).,NA
Hellula phidilealis,(Walker),"NA",Lepidoptera,"NA",Pyralidae,1989,"NA","NA","NA","NA",Nishida(2002),NA
Leptopilina boulardi,(Barbotin et al.),"NA",Hymenoptera,"NA",Eucoilidae,1989,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Micreriodes guamensis,Yoshimoto,"NA",Hymenoptera,"NA",Eucoilidae,1989,"NA","NA",Oceania,"NA",Nishida(2002),NA
Palembus ocularis,Casey,"NA",Coleoptera,"NA",Tenebrionidae,1989,"NA","NA",Nearctic,"NA",Samuelson (1989) Proceedings of the Hawaiian Entomological Society 30: 5. Nishida(2002),NA
Pygophora respondens,(Walker),"NA",Diptera,"NA",Muscidae,1989,"NA","NA","NA","NA",Pont (1989) Catalog of the Diptera of the Australasian and Oceanian Regions p. 699. Nishida(2002).,NA
Rogas sp.,-,"NA",Hymenoptera,"NA",Braconidae,1989,"NA","NA","NA","NA",Nishida(2002),NA
Scirtothrips dorsalis,Hood,yellow tea thrips,Thysanoptera,"NA",Thripidae,1989,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Stomorhina discolor,(Fabricius),"NA",Diptera,"NA",Calliphoridae,1989,"NA","NA",Australasia Indomalaya Oceania,"NA",Hardy (1983) Proceedings of the Hawaiian Entomological Society 24(2-3): 162.  Nishida(2002). Kurahashi (1982) Blow flies from Vanuatu (New Hebrides) with descriptions of three new species of the genus Onesia (Diptera: Calliphoridae). Pacific Insects 24: 235-249,NA
Syritta hackeri,Klocker,"NA",Diptera,"NA",Syrphidae,1989,"NA","NA",Indomalaya Australasia,"NA",Hardy (1964) (as Syritta aenigmatopatria) Insects of Hawaii 11: 409. Nishida(2002). http://en.wikipedia.org/wiki/Syritta,NA
Tetrodontochelys anomalus,(Perkins),"NA",Hymenoptera,"NA",Dryinidae,1989,"NA","NA","NA","NA",Nishida(2002),NA
Thoracochaeta brachystoma,(Stenhammar),"NA",Diptera,"NA",Sphaeroceridae,1989,"NA","NA",Palearctic(Europe),"NA",Butler & Usinger (1963) Atoll Research Bulletin 98: 16. Nishida(2002). Tenorio (1968) Taxonomic and Biological Studies of Hawaiian Sphaeroceridae (Diptera) Proc Hawaii Entomol Soc 20: 169-212,NA
Trichromothrips caespitis,(Priesner),"NA",Thysanoptera,"NA",Thripidae,1989,"NA","NA",Palearctic(Europe),"NA",Nishida(2002),NA
Vulgichneumon diminutus,(Matsumura),"NA",Hymenoptera,"NA",Ichneumonidae,1989,"NA","NA",Palearctic(Asia) Indomalaya,"NA",Nishida(2002),NA
Aleurothrixus antidesmae,Takahashi,"NA",Hemiptera,"NA",Aleyrodidae,1988,"NA","NA",Indomalaya,"NA","Nishida(2002)
FOR THE YEARS 19911992 1993 Proc. Hawaii Entomol Soc 32",NA
Aphelinus gossypii,Timberlake,"NA",Hymenoptera,"NA",Aphelinidae,1988,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Aspidiella hartii,(Cockerell),"NA",Hemiptera,"NA",Diaspididae,1988,"NA","NA",Neotropic,"NA",Nishida(2002),Yes
Azotus sp.,-,"NA",Hymenoptera,"NA",Aphelinidae,1988,"NA","NA","NA","NA",Nishida(2002),NA
Bephratelloides cubensis,(Ashmead),Annona seed wasp,Hymenoptera,"NA",Eurytomidae,1988,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Brasema allynii,(French),"NA",Hymenoptera,"NA",Eupelmidae,1988,"NA","NA","NA","NA",Nishida(2002),NA
Chrysobothris affinis,(Fabricius),"NA",Coleoptera,"NA",Buprestidae,1988,"NA","NA",Indomalaya,"NA",Heu (1988) (as Chrysobothris sp. nr. tristis) Proceedings of the Hawaiian Entomological Society 28: 2.,NA
Conura petioliventris,(Cameron),"NA",Hymenoptera,"NA",Chalcididae,1988,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Copidosomopsis plethorica,(Caltagirone),"NA",Hymenoptera,"NA",Encyrtidae,1988,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Elasmopalpus lignosellus,(Zeller),Lesser cornstalk borer,Lepidoptera,"NA",Pyralidae,1988,"NA","NA",Afrotorpic,"NA",Nishida(2002),NA
Gonatocerus californicus,Girault,"NA",Hymenoptera,"NA",Mymaridae,1988,"NA","NA",Nearctic,"NA",Nishida(2002),NA
Helionothrips errans,(Williams),"NA",Thysanoptera,"NA",Thripidae,1988,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Leptodictya tabida,(Herrich-Schaeffer),sugarcane lacebug,Hemiptera,"NA",Tingidae,1988,"NA","NA",Nearctic Neotropic,"NA",Nishida(2002),NA
Leucothrips theobromae,(Priesner),"NA",Thysanoptera,"NA",Thripidae,1988,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Marietta leopardina,Motschulsky,"NA",Hymenoptera,"NA",Aphelinidae,1988,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Megachile chlorura,Cockerell,"NA",Hymenoptera,"NA",Megachilidae,1988,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Megastylus flavopictus,(Gravenhorst),"NA",Hymenoptera,"NA",Ichneumonidae,1988,"NA","NA","NA","NA",Nishida(2002),NA
Mesomorphus vitalisi,Chatanay,"NA",Coleoptera,"NA",Tenebrionidae,1988,"NA","NA",Indomalaya,"NA",Beardsley & Kumashiro (1988) (as Blapstinus sp.) Proceedings of the Hawaiian Entomological Society 28: 15. Nishida(2002),NA
Neohydatothrips samayunkur,(Kudo),"NA",Thysanoptera,"NA",Thripidae,1988,"NA","NA","NA","NA",Nishida(2002),NA
Ozognathus exiguus,[sp.poss.](Gorham),"NA",Coleoptera,"NA",Anobiidae,1988,"NA","NA",Neotropic,"NA",Beardsley & Kumashiro (1988) Proceedings of the Hawaiian Entomological Society 28: 15.,NA
Peltis sp.,-,"NA",Coleoptera,"NA",Trogossitidae,1988,"NA","NA","NA","NA",Beardsley & Kumashiro (1988) (as genus nr. Ostoma sp.) Proceedings of the Hawaiian Entomological Society 28: 15.  Nishida(2002),NA
Pseudanophothrips araucariae,Mound and Palmer,"NA",Thysanoptera,"NA",Thripidae,1988,"NA","NA",Australasia,"NA",Nishida(2002),NA
Systena blanda,Melsheimer,palestriped flea beetle,Coleoptera,"NA",Chrysomelidae,1988,"NA","NA",Nearctic,"NA",Samuelson (1988) Proceedings of the Hawaiian Entomological Society 28: 3.,NA
Agallia lingula,Van Duzee,Leafhopper,Hemiptera,"NA",Cicadellidae,1987,"NA","NA",Neotropic,"NA",Nishida(2002),NA
Andaspis leucophloeae,Rao,"NA",Hemiptera,"NA",Diaspididae,1987,"NA","NA","NA","NA",Nishida(2002),NA
Apanteles opacus,(Ashmead),"NA",Hymenoptera,"NA",Braconidae,1987,"NA","NA",Indomalaya,"NA",Nishida(2002),NA
Aphanisticus cochinchinae,Obenberger,Jewel beetle,Coleoptera,"NA",Buprestidae,1987,"NA","NA",Palearctic(Europe) Palearctic(Asia),"NA","Heu (1987) (as Aphanisticus sp.) Proceedings of the Hawaiian Entomological Society 27: 2. Hespenheide, H. A. 2007a. Expanded distribution of Aphanisticus cochinchinae Obenberger (Coleoptera, Buprestidae) in the New World. The Coleopterists Bulletin 61(2):164.",NA
Aphis nasturtii,Kaltenbach,"NA",Hemiptera,"NA",Aphididae,1987,"NA","NA",Palearctic(Asia),"NA",Nishida(2002),NA
Atomaria sp.,-,"NA",Coleoptera,"NA",Cryptophagidae,1987,"NA","NA","NA","NA",Beardsley (1987) Proceedings of the Hawaiian Entomological Society 27: 5.,NA
Balclutha incisa,(Kirkaldy),Leafhopper,Hemiptera,"NA",Deltocephalidae,1987,"NA","NA",Oceania,"NA",Nishida(2002),NA
Balclutha rosea,(Scott),"NA",Hemiptera,"NA",Deltocephalidae,1987,"NA","NA",Palearctic(Europe),"NA",Nishida(2002),NA
Brontispa chalybeipennis,(Zacher),coconut leaf beetle,Coleoptera,"NA",Chrysomelidae,1987,"NA","NA",Indomalaya,"NA","Beardsley (1987) Proceedings of the Hawaiian Entomological Society 27: 16.
Muniappan (2002) Pests of coconut and their natural enemies in Micronesia. MICRONESICA-AGANA-35: 105-110.",NA
Cephennium sp.,-,"NA",Coleoptera,"NA",Scydmaenidae,1987,"NA","NA","NA","NA",Beardsley (1987) Proceedings of the Hawaiian Entomological Society 27: 5.  Nishida(2002),NA
Contarinia rugosa,Gagne,"NA",Diptera,"NA",Cecidomyiidae,1987,"NA","NA",Nearctic,"NA",Gagne (1986) Proceedings of the Entomological Society of Washington 88: 127. Nishida(2002),NA
Elasmus polistis,Burks,"NA",Hymenoptera,"NA",Elasmidae,1987,"NA","NA",Palearctic(Asia),"NA",Nishida(2002),NA
