GENUS_SPECIES,Authority,COMMON.NAME,Pest Type,JP NAME,ORDER,SubOrder,FAMILY,Year,Intentional_Release,Host_Group,ORIGIN,Source
Dienerella argus,NA,NA,Stored,オオヒメマキムシ,Coleoptera,NA,Lathridiidae,1982,NA,Fungus,NA,"Yamanaka, 2015"
Dienerella costulata,NA,NA,Stored,ムナビロヒメマキムシ,Coleoptera,NA,Lathridiidae,1877,NA,Fungus,NA,"Yamanaka, 2015"
Dienerella filum,(Lucas),NA,Stored,ホソヒメマキムシ,Coleoptera,NA,Lathridiidae,1961,NA,Fungus,NA,"Yamanaka, 2015"
Dienerella ruficollis,Maskell,NA,Stored,ムネアカヒメマキムシ,Coleoptera,NA,Lathridiidae,1971,NA,Fungus,NA,"Yamanaka, 2015"
Dienerella tanakai,(Westwood),NA,Timber:Stored,ナガヒメマキムシ,Coleoptera,NA,Lathridiidae,1984,NA,Fungus,NA,"Yamanaka, 2015"
Micromalthus debilis,Le Conte,NA,Timber,チビナガヒラタムシ,Coleoptera,NA,Micromalthidae,1976,NA,Wood,Nearctic,"Yamanaka, 2015"
Typhaea stercorea,(Linnaeus),hairy fungus beetle,Stored,チャイロコキノコムシ,Coleoptera,NA,Mycetophagidae,1926,NA,Fungus,Palearctic(Europe),"Yamanaka, 2015"
Carpophilus dimidiatus,(Fabricius),cornsap beetle:dried-fruit beetle,Stored,ガイマイデオキスイ,Coleoptera,NA,Nitidulidae,NA,NA,Seeds,Indomalaya,"Yamanaka, 2015"
Carpophilus freemani,Dobson,NA,Stored,ウスチャデオキスイ,Coleoptera,NA,Nitidulidae,NA,NA,Seeds,Palearctic(Asia),"Yamanaka, 2015"
Carpophilus hemipterus,(Linnaeus),dried-fruit beetle,Stored,クリヤケシキスイ,Coleoptera,NA,Nitidulidae,NA,NA,Seeds,Indomalaya,"Yamanaka, 2015"
